"Method, Nodes, Cyclomatic Complexity
"
"net/sf/freecol/tools/ColonizationSaveGameReader$PlayerData.<init>, 2
"
"net/sf/freecol/tools/ColonizationSaveGameReader$PlayerData.print, 2
"
